"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"234996_at",-0.357670798226164,3.45146113475177,-2.18630480489509,0.0304669805623838,0.0494292136175579,-5.05334141406122
"1568765_at",1.28172643015521,6.27098255319149,2.18607756066335,0.0304839596717715,0.0494540744691447,-5.05382336295297
"220632_s_at",-0.202545454545453,5.84887021276596,-2.18589739944871,0.0304974266963085,0.049473235280957,-5.05420542302318
"235954_at",0.521599911308205,4.87916241134752,2.1857274812517,0.0305101327897205,0.0494911596887119,-5.05456573424172
"222799_at",0.390838115299334,4.77269468085106,2.1854532000852,0.0305306526041977,0.049521756271119,-5.05514729178591
"235497_at",-0.581113082039911,3.79329141843972,-2.18538034413328,0.030536105194793,0.0495279113087225,-5.05530175659522
"241808_at",-0.772331441241686,6.56501510638298,-2.18454358184563,0.030598789711914,0.0496268877281072,-5.05707546510429
"204531_s_at",0.66555328159645,6.82117290780142,2.18451920683223,0.0306006173946733,0.0496271576238369,-5.0571271240012
"244435_at",-0.644914878048781,3.3428,-2.18406395912735,0.0306347701121651,0.0496798484100053,-5.05809184899134
"215866_at",0.420729534368072,3.21900914893617,2.18374563724707,0.0306586702961972,0.049715908031609,-5.05876630009276
"1562921_at",1.04070350332594,5.32683453900709,2.18368295171733,0.0306633787464641,0.0497196911777202,-5.0588991055479
"221045_s_at",-0.731271618625277,7.36979106382979,-2.18367026149083,0.0306643320141371,0.0497196911777202,-5.05892599060674
"229141_at",-0.571343858093128,6.31828425531915,-2.18339871245019,0.030684736469778,0.0497500750372688,-5.05950124971886
"226070_at",0.51563536585366,6.7357170212766,2.18318915326127,0.030700491004209,0.049772916952607,-5.05994514168015
"213802_at",0.68621731707317,3.05869858156028,2.18278943234332,0.0307305612528349,0.0498189643623996,-5.06079172728236
"1568865_at",0.633629090909093,5.67585141843972,2.18272112426319,0.0307357024972385,0.0498245952192319,-5.06093638533713
"223260_s_at",0.429282150776052,5.22001390070922,2.18263236844217,0.0307423838670562,0.0498321301906792,-5.06112433986884
"228617_at",0.862210620842569,10.3821370921986,2.18261506051594,0.0307436869217761,0.0498321301906792,-5.06116099131719
"223191_at",0.307889157427939,9.78633716312057,2.18227506628023,0.030769293649473,0.0498709299110579,-5.06188091170867
"239723_at",-1.37428634146341,6.53043382978723,-2.18224778423152,0.0307713492039704,0.0498715557058489,-5.06193867551285
"211865_s_at",0.281617937915741,3.14969666666667,2.18202881030015,0.030787852020477,0.0498955950419199,-5.06240228076502
"221326_s_at",0.927512971175166,5.89852234042553,2.1819178080329,0.030796220561765,0.0499064498666381,-5.0626372749562
"1557690_x_at",0.72460423503326,3.90272212765957,2.18182067171561,0.0308035453586007,0.0499156121777856,-5.06284290547661
"229691_at",-0.78354243902439,5.02651914893617,-2.18066235107664,0.0308910078837256,0.0500546256514719,-5.065294327446
"225203_at",0.708852128603107,8.0077014893617,2.18047310809309,0.0309053177118548,0.0500750965995681,-5.06569471798324
"226689_at",0.411227516629713,7.83826510638298,2.1801889682719,0.0309268140764568,0.050107208857034,-5.0662958254296
"1553423_a_at",0.799360288248336,3.59894226950355,2.1799586528112,0.0309442479224008,0.0501327359502077,-5.06678301194509
